Day	Start Time	End Time	Room	Genra	Panel Title	Panel Description	Panel participants
Thu	02:00:00 PM	03:00:00 PM	A4	Creators	Guests of Honor Photocall	CVG Guests of Honor Photography Session, not open to con-goers.	Trace Beaulieu, Christian Colquhoun, Larry Dixon, Daren Dochterman, Mark Evanier, Kenneth Hite, Dr. Jim Kakalios, Perrin Klumpp, Harry Knowles, Jay Knowles, John Kovalic, Mercedes Lackey, Bridget Landry, Peter Mayhew, Robert Meyer Burnett, Andrew Probert, Video Team, Vincent Truitner, Peter Verrant, David Weber, Len Wein, Greg Weisman, Wally Wingert, Marv Wolfman, Bernie Wrightson
Thu	03:30:00 PM	04:30:00 PM	101	Gaming	How to Play Matrix Tag	Do you have what it takes to help Neo win the war for Zion ? Or will you support Agent Smith in his quest to subjugate the humans? In Matrix Tag, two teams vie for power over the fate of the human race. Players choose the roles of Agent Smith, Neo, Morpheus, Trinity, Agent and Zionist. Any number of people can play, joining in and leaving at any time. Players are free to attend other programming during the Convention, as they seek out Agents and Zionists and gain strength for their team.	Jack Barker, Shannon Green, Rich Miller
Thu	03:30:00 PM	04:30:00 PM	A3	Comics	Futuretech, Comic Style	How are future technologies depicted in comics, manga and animation? Let's talk about spacecraft propulsion systems, computing, robotics, off-world habitats, AI, and other related subjects.	David Buth, Seth Eden, Ben Huset, Jonathan Palmer, Anna Waltz
Thu	03:30:00 PM	04:30:00 PM	A4	HotDish	CONvergence 101: Surviving a Four-Day Weekend	As we head into our tenth year with a bonus extra day, this panel is a must for new attendees. Come and learn where and when the cool stuff is and how to get the most from your weekend at CONvergence!	Dave Benhart, Jay Curry, Michael Lee, Jen Manna
Thu	03:30:00 PM	04:30:00 PM	A6	Lit	City as Character	New Crobuzon, Gotham City, The Sprawl, Newford, even Minneapolis in War for the Oaks. What authors use their cities in the most interesting ways? How does the city contribute to the story?	Paula Fleming, Cabell Gathman, Kenneth Hite, Philip Kaveny, John Shea, Karl Wolff
Thu	03:30:00 PM	04:30:00 PM	Edina	TV	Return of The Satellite of Love?	With so many Mystery Science Theatre 3000 related off-shoots out there (RiffTrax, The Film Crew, Cinematic Titanic), it can be hard to follow the latest developments. Come discuss your favorite new ventures and riffs.	Nick Larson, Steven Manfred, David Margosian
Thu	05:00:00 PM	06:00:00 PM	101	Gaming	How to Play the Steam Century Mystery LARP	The Steam Century Mystery LARP is a multifaceted game that combines elements of live action roleplaying and crime dramas. Players follow a trail of clues by investigating rooms, speaking to costumed characters and playing games of skill. Players sign up at game registration and attend a 30 minute orientation which explains the world of Steam Century and how to interact with props and characters. Game play takes place over a set period of time, but is designed to be played intermittently. Players are encouraged to take part in other con activities during the game. Characters and clues can be found throughout the con.	Jack Barker, Shannon Green, Rich Miller
Thu	05:00:00 PM	06:00:00 PM	A2	Gaming	D&D: 4th Edition	How is the 4th edition of Dungeons and Dragons holding up? Metal detectors will be provided at the door for your protection.	Jeff Hagen, Kenneth Hite, Rob Johnson, Troy Small
Thu	05:00:00 PM	06:00:00 PM	A3	TV	Spectacular Spiderman	Discuss this new animated take on an old classic superhero and meet the executive producer of the series.	Greg Weisman
Thu	05:00:00 PM	06:00:00 PM	A4	HotDish	Otaku: Your Wacky Anime Neighbors	Are you wondering what Anime is all about? Curious whether there is any difference between a cos-play and a masquerade? Want to learn about Anime Conventions? Then this is the panel for you.	Jessi Silver, Jo Thomsen, Matt Weinberg
Thu	05:00:00 PM	06:00:00 PM	A6	Lit	Emergent Genres And Movements	A discussion of The New Weird, Mundane Science Fiction, Space-Westerns, and other current movements in the field.	Rob Callahan, Matthew Lee Davis, Damian Sheridan, Karl Wolff
Thu	05:00:00 PM	06:00:00 PM	A7	Science	Ecology of Monsters	Hypothesize about how an ecological system would fare if the world were overrun by zombies, monsters, and other creatures of the night.	Craig Finseth, Melissa Kaercher, Taylor Kent, Chris Pasquarette, Ellie Younger
Thu	05:00:00 PM	06:00:00 PM	A8	Lit	Fanzines Invented the Internet	Everything anyone does online today was basically invented by fans in zines and apas well before most people even had even heard of a personal computer. We'll also look at some zines from 1999 and illustrate how things have changed since then.	Holly Day, David Emerson, Scott K. Jamison, Greg Prickman, David E. Romm, Joan Marie Verba
Thu	05:00:00 PM	06:00:00 PM	Bloom	Movies	1.18.08: Marketing of a Film	Let's look back at some of the best and worst marketing campaigns in the history of the film industry. Share your ideas for future film marketing.	Romeo Azar, Jay Knowles, Troy LaFaye, Robert Meyer Burnett, Dan Wallace
Thu	05:00:00 PM	06:00:00 PM	Edina	TV	Doctor Who by Decade: The Sixties	Covering the 1960's era Dr. Who, this is the first in a series of four panels exploring the rich and varied history of the classic British science-fiction series, focusing on the Hartnell and Troughton eras.	Ben Ellis, Steven Manfred, Charlie Paulsen, Michael Scott Shappe, Michael D. Thomas
Thu	05:00:00 PM	06:00:00 PM	Kr	Lit	Where Do You Start?	What is the initial genesis or kernel idea of a book? Do you start with a character? A world? A cool scene? A plot?	Joel Arnold, Dana M. Baird, Garnet Gyre, Michael Merriam, Doug Texter
Thu	05:00:00 PM	06:00:00 PM	Sign	Auto	Signing John & Peter	Signing/Autographing	John Kovalic, Peter Mayhew
Thu	06:00:00 PM	07:00:00 PM	MnStg	MainStg	Mark Time Awards	Mark Time Awards, starts at 6 PM?. The Mark Time Award is given each year to honor the Best Science Fiction Audio Production on the Planet. And the Ogle Award for Best Fantasy Audio Production of the Year.	Windy Bowlsby, Jerry Stearns, Tim Wick, Wally Wingert
Thu	07:00:00 PM	08:00:00 PM	MnStg	MainStg	Opening Ceremonies	Opening Ceremonies	Trace Beaulieu, Windy Bowlsby, Christian Colquhoun, Larry Dixon, Daren Dochterman, Mark Evanier, Kenneth Hite, ASL Interpreter, Christopher Jones, Dr. Jim Kakalios, Perrin Klumpp, Harry Knowles, Jay Knowles, John Kovalic, Mercedes Lackey, Bridget Landry, Peter Mayhew, Robert Meyer Burnett, Andrew Probert, Jeremy Stomberg, Video Team, Vincent Truitner, David Weber, Len Wein, Greg Weisman, Pat Wick, Tim Wick, Ishmael Williams, Wally Wingert, Marv Wolfman, Bernie Wrightson
Thu	08:00:00 PM	09:00:00 PM	101	Proj	Build Your Own Monster	Develop, design, and build your own terrifying monster out of various supplies.	Terry Faust
Thu	08:00:00 PM	09:00:00 PM	A2	Gaming	Video Game Blogs and Podcasts	There are so many video game blogs and podcasts out there, including Kotaku, Joystiq, 1-Up, Retronauts, and many others. What are your favorites for gaming news and which are some to avoid?	Matt Everhart, Tara Nelson, Tim Wilsie
Thu	08:00:00 PM	09:00:00 PM	A3	Comics	Censorship in Comics - The Past and Future	The landscape has changed drastically since the Comics Code Authority was established in 1954. Most publishers don't even submit for CCA approval anymore. How has this impacted the way stories are told and what part did the Comic Book Legal Defense Fund play in the matter?	Britt Aamodt, Terry Beatty, Mark Evanier, Damian Sheridan, Video Team, Tim Uren, Bernie Wrightson
Thu	08:00:00 PM	09:00:00 PM	A4	HotDish	Closet Geeks... Come Out, Come Out Wherever You Are!	When did you realized you were a geek? Are you considering stepping out of the geek closet? If you told people you were going to be 'out of town this weekend,' then this panel is for you!	Michael Beitscher, Rob Callahan, Paul Harmeyer, Sarah Hertz, Taylor Kent, Pete Lane
Thu	08:00:00 PM	09:00:00 PM	A6	Lit	6 Impossible Things Before Breakfast	Highly improbable, unlikely andYou Must Be Joking! usage of swords, firearms and other weaponry in science fiction and fantasy. Let's talk about the best and the worst.	Catherine Lundoff, Rebecca Marjesdatter
Thu	08:00:00 PM	09:00:00 PM	Bloom	Movies	Dream Cast	No, this isn't about the Sega video game console. If you could sit in the casting chair, who would you cast in upcoming movies and why? If you could rewind the clock, who would you re-cast?	Ed Eastman, David Margosian
Thu	08:00:00 PM	09:00:00 PM	Edina	TV	Star Trek: The New Voyages and Beyond	Star Trek is back in the hands of its fans again. Let's discuss the direction the fans are taking this beloved property. Some productions even include members of the original casts.	Romeo Azar, Steve Erickson, Rob Johnson, George Richard, Gordon Smuder
Thu	08:00:00 PM	11:59:00 PM	Kr	HotDish	Krushenko's Silver Edition Party	Krushenko's opened at Minicon 1983. Come and celebrate the past, present, and future of this speculative fiction salon. Party runs until midnight.	Eric M. Heideman
Thu	09:30:00 PM	10:30:00 PM	101	Gaming	Matrix Tag (All Ages)	Do you have what it takes to help Neo win the war for Zion ? Or will you support Agent Smith in his quest to subjugate the humans? In Matrix Tag, two teams vie for power over the fate of the human race. Players choose the roles of Agent Smith, Neo, Morpheus, Trinity, Agent and Zionist. Any number of people can play, joining in and leaving at any time. Players are free to attend other programming during the Convention, as they seek out Agents and Zionists and gain strength for their team.	Jack Barker, Shannon Green, Rich Miller
Thu	09:30:00 PM	10:30:00 PM	A2	Gaming	Not all Munchkins Live in Oz	Collectable Card Games are still going strong and there's more CCG's out there besides Magic: The Gathering and Pokemon. What are some of your favorites and which ones should you leave on the shelves?	Matthew Lee Davis, Nate French, Pete Lane, Morgan Stana, Bob Wagner
Thu	09:30:00 PM	10:30:00 PM	A3	Arts	Songwriting and Filking	In addition to her numerous novels, Mercedes Lackey is an accomplished song-writer. Come and learn about her abilities in music composition as well as the local filking scene.	Justin Hartley, Beth Kinderman, Mercedes Lackey, Amanda Newman, Laramie Sasseville, Dave Stagner
Thu	09:30:00 PM	10:30:00 PM	A4	HotDish	Smackdown Panel - Cereal Mascot Smackdown	Many will enter but only one will win. Watch out for that Captain Crunch - he's sneaky and vicious and cuts the roof of your mouth!	Mark Evanier, Kelvin Hatle, Kenneth Hite, ASL Interpreter, Christopher Jones, Melissa Kaercher, Joe Scrimshaw, Video Team, Tim Uren, Tim Wick
Thu	09:30:00 PM	10:30:00 PM	A6	Lit	GLBT SF&F that Everyone Should Read	For over six years, the North Country Gaylaxians have been meeting monthly to discuss SF&F books with GLBT connections. In that time we have come across books that we would not recommend and those we think are gems. In this panel, we will discuss those books that we have found to be especially good and would recommend to all audiences.	Joe Agee, Bob Alberti, Andrew Berthke, Don Kaiser, Claudia Slovacek, Jason Tucker
